County,a,b,c,GeneralGovt ,Protection ,PublicAssistance,Health,RoadsFacilitiesSanitation,GDP,MedianHouseholdIncome,NetTaxableAssessed,Felony Probation (2018),Incarcerated from County (2018),Violent Crimes (2018),Property Crimes (2018),Housing Units: Single Family (January 2019),Housing Units: Multi-Family (January 2019),Housing Units: Mobile Homes (January 2019),Migration,Population2020
Siskiyou,3451.948404,0.046479794,163.0411428,9088683,33660479,23399364,16440292,8767805,1940815000,44013,4955027000,506,61,180,654,17357,3245,3598,-508,44076
Solano,2691.006924,0.047248095,6362.989133,60219892,230688921,155201096,166937392,19483722,26440606000,75931,54446530000,1651,272,2110,11894,121353,33620,4613,12184,453491
Sonoma,1285.232433,0.037726299,8849.133777,105939256,316573895,224309282,146621910,34620680,31959962000,79511,89896409000,2139,282,1985,7167,152752,40771,11453,-11812,488863
Stanislaus,26919.76114,0.061259882,16437.30217,56725014,246183737,362651635,156386919,37126952,25133925000,58925,49605276000,4450,654,3160,15300,144015,29890,8609,-6094,552878
Sutter,16345.08978,0.053218711,1755.885621,24961624,74498883,50746330,56113287,4855317,3831491000,54102,9907953000,867,141,328,2495,25981,6895,1522,2143,99633
Tehama,3215.76229,0.042637414,636.126604,7865055,39154070,38096626,20757832,9255560,2421320000,41819,5767737000,654,172,267,1616,18222,3120,6313,1442,65829
Trinity,3075.30168,0.040217921,37.00271801,4290749,12572139,11084417,10467146,14075005,570541000,40676,1670899000,108,27,79,257,6077,616,2249,2424,16112
Tulare,638.949694,0.038732009,17354.30717,50558371,228735525,283414348,130474625,43921848,19137922000,46377,36070906000,5345,553,1587,11682,118137,21836,10649,-5995,473117
Tuolumne,28689.35934,0.060262125,229.0221072,16583970,42975034,21463414,17006184,23521495,2768973000,58776,7492677000,543,77,197,985,25477,2671,3476,1030,55620
Ventura,1037.01159,0.041255539,13586.84026,70613727,510618398,267466484,223570751,33158207,59631268000,82436,1.36E+11,2027,543,2048,14659,216468,61829,11350,-12755,843843
Yolo,5693.827933,0.050801336,2846.462309,28260314,103555772,96570637,50111077,11701851,15336770000,64900,27912060000,1173,196,674,5793,51055,23077,3547,-6178,216403
Yuba,52134.58311,0.058478825,1123.980495,15057347,55482855,54015803,7614948,10961944,3391514000,53822,6011147000,516,144,341,1856,20699,5020,2931,3659,81575
